,level_0,timestamp,device,metric,value,Consumption by hour
114,0,2023-10-03 11:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,412.0,8.0
115,0,2023-10-03 12:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,421.0,9.0
116,0,2023-10-03 13:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,427.0,6.0
117,0,2023-10-03 14:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,432.0,5.0
118,0,2023-10-03 15:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,440.0,8.0
119,0,2023-10-03 16:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,449.0,9.0
120,0,2023-10-03 17:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,458.0,9.0
121,0,2023-10-03 18:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,463.0,5.0
122,0,2023-10-03 19:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,464.0,1.0
123,0,2023-10-03 20:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,464.0,0.0
124,0,2023-10-03 21:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,464.0,0.0
125,0,2023-10-03 22:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,465.0,1.0
126,0,2023-10-03 23:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,466.0,1.0
127,0,2023-10-04 00:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,466.0,0.0
128,0,2023-10-04 01:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,466.0,0.0
129,0,2023-10-04 02:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,466.0,0.0
130,0,2023-10-04 03:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,467.0,1.0
131,0,2023-10-04 04:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,467.0,0.0
132,0,2023-10-04 05:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,468.0,1.0
133,0,2023-10-04 06:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,469.0,1.0
134,0,2023-10-04 07:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,471.0,2.0
135,0,2023-10-04 08:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,478.0,7.0
136,0,2023-10-04 09:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,483.0,5.0
137,0,2023-10-04 10:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,490.0,7.0
138,0,2023-10-04 11:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,495.0,5.0
139,0,2023-10-04 12:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,507.0,12.0
140,0,2023-10-04 13:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,512.0,5.0
141,0,2023-10-04 14:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,520.0,8.0
142,0,2023-10-04 15:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,526.0,6.0
143,0,2023-10-04 16:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,533.0,7.0
144,0,2023-10-04 17:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,543.0,10.0
145,0,2023-10-04 18:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,548.0,5.0
146,0,2023-10-04 19:00:00-03:00,SENSFLW-0600-VERACRUZ,/Entered,548.0,0.0
